0 , ALM , 2-1 , ATH
244 , RAC , 0-1 , VAL
245 , RAC , 3-2 , VLD
246 , RAC , 1-1 , VIL
247 , RMA , 3-0 , ALM
248 , RMA , 3-2 , ATH
249 , RMA , 1-1 , ATM
250 , RMA , 2-6 , BAR
251 , RMA , 6-1 , BET
252 , RMA , 1-0 , DEP
253 , RMA , 2-2 , ESP
254 , RMA , 3-2 , GET
255 , RMA , 4-3 , MLG
256 , RMA , 1-3 , MLL
257 , RMA , 4-3 , NUM
258 , RMA , 3-1 , OSA
259 , RMA , 1-0 , RAC
260 , RMA , 1-0 , REC
261 , RMA , 3-4 , SEV
262 , RMA , 7-1 , SPG
263 , RMA , 1-0 , VAL
264 , RMA , 2-0 , VLD
265 , RMA , 1-0 , VIL
266 , REC , 1-1 , ALM
267 , REC , 1-1 , ATH
268 , REC , 0-3 , ATM
269 , REC , 0-2 , BAR
270 , REC , 1-0 , BET
271 , REC , 1-2 , DEP
272 , REC , 0-1 , ESP
273 , REC , 1-1 , GET
274 , REC , 0-4 , MLG
275 , REC , 2-4 , MLL
276 , REC , 3-1 , NUM
277 , REC , 1-0 , OSA
278 , REC , 0-1 , RAC
279 , REC , 0-1 , RMA
280 , REC , 0-1 , SEV
281 , REC , 2-0 , SPG
282 , REC , 1-1 , VAL
283 , REC , 2-3 , VLD
284 , REC , 1-2 , VIL
285 , SEV , 2-1 , ALM
286 , SEV , 4-0 , ATH
287 , SEV , 1-0 , ATM
288 , SEV , 0-3 , BAR
289 , SEV , 1-2 , BET
290 , SEV , 1-0 , DEP
291 , SEV , 2-0 , ESP
292 , SEV , 0-1 , GET
293 , SEV , 0-1 , MLG
294 , SEV , 3-1 , MLL
295 , SEV , 1-0 , NUM
296 , SEV , 1-1 , OSA
297 , SEV , 0-2 , RAC
298 , SEV , 2-4 , RMA
299 , SEV , 1-0 , REC
300 , SEV , 4-3 , SPG
301 , SEV , 0-0 , VAL
302 , SEV , 4-1 , VLD
303 , SEV , 1-0 , VIL
304 , SPG , 1-0 , ALM
305 , SPG , 1-1 , ATH
306 , SPG , 2-5 , ATM
307 , SPG , 1-6 , BAR
308 , SPG , 1-2 , BET
309 , SPG , 3-2 , DEP
310 , SPG , 0-3 , ESP
311 , SPG , 1-2 , GET
312 , SPG , 2-1 , MLG
313 , SPG , 0-1 , MLL
314 , SPG , 3-1 , NUM
315 , SPG , 2-1 , OSA
316 , SPG , 0-2 , RAC
317 , SPG , 0-4 , RMA
318 , SPG , 2-1 , REC
319 , SPG , 1-0 , SEV
320 , SPG , 2-3 , VAL
321 , SPG , 2-1 , VLD
322 , SPG , 0-1 , VIL
323 , VAL , 3-2 , ALM
324 , VAL , 2-0 , ATH
325 , VAL , 3-1 , ATM
326 , VAL , 2-2 , BAR
327 , VAL , 3-2 , BET
328 , VAL , 4-2 , DEP
329 , VAL , 2-1 , ESP
330 , VAL , 4-1 , GET
331 , VAL , 1-1 , MLG
332 , VAL , 3-0 , MLL
333 , VAL , 4-0 , NUM
334 , VAL , 1-0 , OSA
335 , VAL , 2-4 , RAC
336 , VAL , 3-0 , RMA
337 , VAL , 1-1 , REC
338 , VAL , 3-1 , SEV
339 , VAL , 2-3 , SPG
340 , VAL , 1-2 , VLD
341 , VAL , 3-3 , VIL
342 , VLD , 2-0 , ALM
343 , VLD , 2-1 , ATH
344 , VLD , 2-1 , ATM
345 , VLD , 0-1 , BAR
346 , VLD , 1-3 , BET
347 , VLD , 3-0 , DEP
348 , VLD , 1-1 , ESP
349 , VLD , 1-0 , GET
350 , VLD , 1-3 , MLG
351 , VLD , 3-0 , MLL
352 , VLD , 0-0 , NUM
353 , VLD , 0-0 , OSA
354 , VLD , 0-1 , RAC
355 , VLD , 1-0 , RMA
356 , VLD , 1-1 , REC
357 , VLD , 3-2 , SEV
358 , VLD , 1-2 , SPG
359 , VLD , 0-1 , VAL
360 , VLD , 0-0 , VIL
361 , VIL , 2-1 , ALM
362 , VIL , 2-0 , ATH
363 , VIL , 4-4 , ATM
364 , VIL , 1-2 , BAR
365 , VIL , 2-1 , BET
366 , VIL , 1-0 , DEP
367 , VIL , 1-0 , ESP
368 , VIL , 3-3 , GET
369 , VIL , 0-2 , MLG
370 , VIL , 2-0 , MLL
371 , VIL , 2-1 , NUM
372 , VIL , 1-1 , OSA
373 , VIL , 2-0 , RAC
374 , VIL , 3-2 , RMA
375 , VIL , 2-1 , REC
376 , VIL , 0-2 , SEV
377 , VIL , 2-1 , SPG
378 , VIL , 3-1 , VAL
379 , VIL , 0-3 , VLD
