0 , ATH , 1-1 , ATM
212 , OSA , 3-1 , BET
213 , OSA , 0-1 , CÁD
214 , OSA , 1-0 , CEL
215 , OSA , 1-1 , ELC
216 , OSA , 0-0 , ESP
217 , OSA , 0-0 , LOG
218 , OSA , 1-0 , MLG
219 , OSA , 1-0 , MUR
220 , OSA , 1-1 , RMA
221 , OSA , 3-1 , ROV
222 , OSA , 1-0 , RSO
223 , OSA , 1-3 , SEV
224 , OSA , 0-0 , SPG
225 , OSA , 0-1 , VAL
226 , OSA , 0-2 , VLD
227 , OSA , 3-0 , ZAR
228 , RMA , 3-3 , ATH
229 , RMA , 2-1 , ATM
230 , RMA , 3-2 , BAR
231 , RMA , 5-1 , BET
232 , RMA , 4-0 , CÁD
233 , RMA , 4-1 , CEL
234 , RMA , 4-2 , ELC
235 , RMA , 3-0 , ESP
236 , RMA , 1-0 , LOG
237 , RMA , 2-1 , MLG
238 , RMA , 3-0 , MUR
239 , RMA , 2-2 , OSA
240 , RMA , 1-0 , ROV
241 , RMA , 2-2 , RSO
242 , RMA , 3-0 , SEV
243 , RMA , 5-1 , SPG
244 , RMA , 2-1 , VAL
245 , RMA , 3-2 , VLD
246 , RMA , 4-0 , ZAR
247 , ROV , 0-3 , ATH
248 , ROV , 5-2 , ATM
249 , ROV , 1-2 , BAR
250 , ROV , 0-3 , BET
251 , ROV , 1-0 , CÁD
252 , ROV , 4-0 , CEL
253 , ROV , 3-0 , ELC
254 , ROV , 0-1 , ESP
255 , ROV , 1-1 , LOG
256 , ROV , 2-3 , MLG
257 , ROV , 2-0 , MUR
258 , ROV , 3-2 , OSA
259 , ROV , 1-3 , RMA
260 , ROV , 1-0 , RSO
261 , ROV , 0-0 , SEV
262 , ROV , 1-0 , SPG
263 , ROV , 0-0 , VAL
264 , ROV , 0-1 , VLD
265 , ROV , 1-1 , ZAR
266 , RSO , 1-0 , ATH
267 , RSO , 1-2 , ATM
268 , RSO , 0-1 , BAR
269 , RSO , 2-1 , BET
270 , RSO , 0-0 , CÁD
271 , RSO , 4-2 , CEL
272 , RSO , 1-0 , ELC
273 , RSO , 0-1 , ESP
274 , RSO , 2-2 , LOG
275 , RSO , 2-2 , MLG
276 , RSO , 0-2 , MUR
277 , RSO , 2-1 , OSA
278 , RSO , 1-1 , RMA
279 , RSO , 0-0 , ROV
280 , RSO , 1-0 , SEV
281 , RSO , 2-1 , SPG
282 , RSO , 0-0 , VAL
283 , RSO , 1-0 , VLD
284 , RSO , 2-1 , ZAR
285 , SEV , 0-0 , ATH
286 , SEV , 4-1 , ATM
287 , SEV , 1-1 , BAR
288 , SEV , 1-0 , BET
289 , SEV , 1-1 , CÁD
290 , SEV , 1-3 , CEL
291 , SEV , 4-1 , ELC
292 , SEV , 0-0 , ESP
293 , SEV , 0-1 , LOG
294 , SEV , 1-1 , MLG
295 , SEV , 3-0 , MUR
296 , SEV , 1-0 , OSA
297 , SEV , 1-1 , RMA
298 , SEV , 2-1 , ROV
299 , SEV , 2-0 , RSO
300 , SEV , 1-0 , SPG
301 , SEV , 1-0 , VAL
302 , SEV , 2-4 , VLD
303 , SEV , 0-1 , ZAR
304 , SPG , 0-1 , ATH
305 , SPG , 2-2 , ATM
306 , SPG , 0-2 , BAR
307 , SPG , 0-0 , BET
308 , SPG , 1-0 , CÁD
309 , SPG , 1-2 , CEL
310 , SPG , 2-0 , ELC
311 , SPG , 2-1 , ESP
312 , SPG , 3-0 , LOG
313 , SPG , 1-2 , MLG
314 , SPG , 0-1 , MUR
315 , SPG , 2-1 , OSA
316 , SPG , 2-2 , RMA
317 , SPG , 0-0 , ROV
318 , SPG , 4-2 , RSO
319 , SPG , 0-0 , SEV
320 , SPG , 1-0 , VAL
321 , SPG , 2-1 , VLD
322 , SPG , 1-2 , ZAR
323 , VAL , 0-0 , ATH
324 , VAL , 1-0 , ATM
325 , VAL , 1-1 , BAR
326 , VAL , 3-0 , BET
327 , VAL , 1-2 , CÁD
328 , VAL , 1-0 , CEL
329 , VAL , 3-2 , ELC
330 , VAL , 1-1 , ESP
331 , VAL , 0-0 , LOG
332 , VAL , 2-1 , MLG
333 , VAL , 3-0 , MUR
334 , VAL , 3-2 , OSA
335 , VAL , 1-1 , RMA
336 , VAL , 0-1 , ROV
337 , VAL , 1-0 , RSO
338 , VAL , 1-0 , SEV
339 , VAL , 2-1 , SPG
340 , VAL , 1-0 , VLD
341 , VAL , 2-2 , ZAR
342 , VLD , 1-0 , ATH
343 , VLD , 0-1 , ATM
344 , VLD , 0-0 , BAR
345 , VLD , 2-1 , BET
346 , VLD , 1-0 , CÁD
347 , VLD , 0-1 , CEL
348 , VLD , 3-0 , ELC
349 , VLD , 1-0 , ESP
350 , VLD , 3-1 , LOG
351 , VLD , 1-0 , MLG
352 , VLD , 2-1 , MUR
353 , VLD , 1-0 , OSA
354 , VLD , 0-1 , RMA
355 , VLD , 1-0 , ROV
356 , VLD , 2-0 , RSO
357 , VLD , 2-1 , SEV
358 , VLD , 0-1 , SPG
359 , VLD , 1-1 , VAL
360 , VLD , 1-0 , ZAR
361 , ZAR , 1-0 , ATH
362 , ZAR , 0-0 , ATM
363 , ZAR , 0-0 , BAR
364 , ZAR , 2-1 , BET
365 , ZAR , 0-1 , CÁD
366 , ZAR , 2-1 , CEL
367 , ZAR , 3-1 , ELC
368 , ZAR , 2-1 , ESP
369 , ZAR , 1-1 , LOG
370 , ZAR , 2-1 , MLG
371 , ZAR , 2-1 , MUR
372 , ZAR , 0-1 , OSA
373 , ZAR , 1-4 , RMA
374 , ZAR , 3-1 , ROV
375 , ZAR , 0-0 , RSO
376 , ZAR , 0-0 , SEV
377 , ZAR , 1-1 , SPG
378 , ZAR , 0-0 , VAL
379 , ZAR , 2-0 , VLD
