0 , ALB , 0-2 , ATH
103 , DEP , 1-0 , MLG
104 , DEP , 0-3 , MLL
105 , DEP , 1-1 , NUM
106 , DEP , 1-3 , OSA
107 , DEP , 1-4 , RAC
108 , DEP , 2-0 , RMA
109 , DEP , 2-2 , RSO
110 , DEP , 2-2 , SEV
111 , DEP , 1-5 , VAL
112 , DEP , 1-1 , VIL
113 , DEP , 2-3 , ZAR
114 , ESP , 2-1 , ALB
115 , ESP , 2-1 , ATH
116 , ESP , 2-0 , ATM
117 , ESP , 0-1 , BAR
118 , ESP , 2-2 , BET
119 , ESP , 1-1 , DEP
120 , ESP , 2-0 , GET
121 , ESP , 2-1 , LEV
122 , ESP , 1-0 , MLG
123 , ESP , 2-1 , MLL
124 , ESP , 3-0 , NUM
125 , ESP , 4-1 , OSA
126 , ESP , 2-1 , RAC
127 , ESP , 1-0 , RMA
128 , ESP , 2-2 , RSO
129 , ESP , 1-3 , SEV
130 , ESP , 2-2 , VAL
131 , ESP , 0-0 , VIL
132 , ESP , 3-1 , ZAR
133 , GET , 1-0 , ALB
134 , GET , 1-1 , ATH
135 , GET , 3-1 , ATM
136 , GET , 1-2 , BAR
137 , GET , 0-2 , BET
138 , GET , 1-1 , DEP
139 , GET , 1-0 , ESP
140 , GET , 1-0 , LEV
141 , GET , 1-0 , MLG
142 , GET , 1-2 , MLL
143 , GET , 1-0 , NUM
144 , GET , 0-0 , OSA
145 , GET , 2-0 , RAC
146 , GET , 2-1 , RMA
147 , GET , 2-0 , RSO
148 , GET , 0-0 , SEV
149 , GET , 1-0 , VAL
150 , GET , 1-2 , VIL
151 , GET , 3-0 , ZAR
152 , LEV , 1-1 , ALB
153 , LEV , 1-0 , ATH
154 , LEV , 1-0 , ATM
155 , LEV , 1-1 , BAR
156 , LEV , 1-2 , BET
157 , LEV , 0-1 , DEP
158 , LEV , 0-2 , ESP
159 , LEV , 0-0 , GET
160 , LEV , 0-1 , MLG
161 , LEV , 2-0 , MLL
162 , LEV , 1-1 , NUM
163 , LEV , 4-0 , OSA
164 , LEV , 3-1 , RAC
165 , LEV , 0-2 , RMA
166 , LEV , 2-1 , RSO
167 , LEV , 0-3 , SEV
168 , LEV , 0-0 , VAL
169 , LEV , 2-4 , VIL
170 , LEV , 0-0 , ZAR
171 , MLG , 0-2 , ALB
172 , MLG , 1-0 , ATH
173 , MLG , 1-0 , ATM
174 , MLG , 0-4 , BAR
175 , MLG , 1-2 , BET
176 , MLG , 1-1 , DEP
177 , MLG , 3-2 , ESP
178 , MLG , 1-1 , GET
179 , MLG , 1-0 , LEV
180 , MLG , 0-0 , MLL
181 , MLG , 4-1 , NUM
182 , MLG , 2-0 , OSA
183 , MLG , 2-0 , RAC
184 , MLG , 0-2 , RMA
185 , MLG , 1-5 , RSO
186 , MLG , 1-0 , SEV
187 , MLG , 0-2 , VAL
188 , MLG , 0-2 , VIL
189 , MLG , 0-0 , ZAR
190 , MLL , 2-1 , ALB
191 , MLL , 1-1 , ATH
192 , MLL , 4-3 , ATM
193 , MLL , 1-3 , BAR
194 , MLL , 1-1 , BET
195 , MLL , 2-2 , DEP
196 , MLL , 3-2 , ESP
197 , MLL , 3-1 , GET
198 , MLL , 1-2 , LEV
199 , MLL , 1-2 , MLG
200 , MLL , 3-2 , NUM
201 , MLL , 1-2 , OSA
202 , MLL , 1-2 , RAC
203 , MLL , 0-1 , RMA
204 , MLL , 3-2 , RSO
205 , MLL , 0-1 , SEV
206 , MLL , 0-0 , VAL
207 , MLL , 1-1 , VIL
208 , MLL , 0-2 , ZAR
209 , NUM , 0-0 , ALB
210 , NUM , 1-0 , ATH
211 , NUM , 1-1 , ATM
212 , NUM , 1-1 , BAR
213 , NUM , 1-1 , BET
214 , NUM , 1-1 , DEP
215 , NUM , 0-0 , ESP
216 , NUM , 1-0 , GET
217 , NUM , 1-3 , LEV
218 , NUM , 0-1 , MLG
219 , NUM , 1-2 , MLL
220 , NUM , 2-2 , OSA
221 , NUM , 2-3 , RAC
222 , NUM , 1-2 , RMA
223 , NUM , 0-2 , RSO
224 , NUM , 2-1 , SEV
225 , NUM , 1-1 , VAL
226 , NUM , 1-1 , VIL
227 , NUM , 2-1 , ZAR
228 , OSA , 3-2 , ALB
229 , OSA , 1-0 , ATH
230 , OSA , 1-1 , ATM
231 , OSA , 0-1 , BAR
232 , OSA , 3-2 , BET
233 , OSA , 1-1 , DEP
234 , OSA , 1-1 , ESP
235 , OSA , 2-1 , GET
236 , OSA , 0-1 , LEV
237 , OSA , 1-6 , MLG
238 , OSA , 1-1 , MLL
239 , OSA , 2-0 , NUM
240 , OSA , 1-0 , RAC
241 , OSA , 1-2 , RMA
242 , OSA , 1-0 , RSO
243 , OSA , 4-1 , SEV
244 , OSA , 0-0 , VAL
245 , OSA , 3-2 , VIL
246 , OSA , 2-2 , ZAR
247 , RAC , 1-0 , ALB
248 , RAC , 2-1 , ATH
249 , RAC , 0-2 , ATM
250 , RAC , 0-2 , BAR
251 , RAC , 1-1 , BET
252 , RAC , 2-2 , DEP
253 , RAC , 1-3 , ESP
254 , RAC , 2-1 , GET
255 , RAC , 2-2 , LEV
256 , RAC , 2-1 , MLG
257 , RAC , 3-0 , MLL
258 , RAC , 2-0 , NUM
259 , RAC , 1-1 , OSA
260 , RAC , 2-3 , RMA
261 , RAC , 1-3 , RSO
262 , RAC , 0-0 , SEV
263 , RAC , 1-0 , VAL
264 , RAC , 1-1 , VIL
265 , RAC , 1-0 , ZAR
266 , RMA , 6-1 , ALB
267 , RMA , 0-2 , ATH
268 , RMA , 0-0 , ATM
269 , RMA , 4-2 , BAR
270 , RMA , 3-1 , BET
271 , RMA , 0-1 , DEP
272 , RMA , 4-0 , ESP
273 , RMA , 2-0 , GET
274 , RMA , 5-0 , LEV
275 , RMA , 1-0 , MLG
276 , RMA , 3-1 , MLL
277 , RMA , 1-0 , NUM
278 , RMA , 1-0 , OSA
279 , RMA , 5-0 , RAC
280 , RMA , 2-1 , RSO
281 , RMA , 0-1 , SEV
282 , RMA , 1-0 , VAL
283 , RMA , 2-1 , VIL
284 , RMA , 3-1 , ZAR
285 , RSO , 0-2 , ALB
286 , RSO , 1-0 , ATH
287 , RSO , 3-2 , ATM
288 , RSO , 0-0 , BAR
289 , RSO , 1-0 , BET
290 , RSO , 1-0 , DEP
291 , RSO , 0-2 , ESP
292 , RSO , 1-1 , GET
293 , RSO , 1-1 , LEV
294 , RSO , 1-3 , MLG
295 , RSO , 2-1 , MLL
296 , RSO , 2-1 , NUM
297 , RSO , 2-0 , OSA
298 , RSO , 0-1 , RAC
299 , RSO , 0-2 , RMA
300 , RSO , 1-0 , SEV
301 , RSO , 3-3 , VAL
302 , RSO , 0-4 , VIL
303 , RSO , 2-1 , ZAR
304 , SEV , 1-0 , ALB
305 , SEV , 2-1 , ATH
306 , SEV , 2-0 , ATM
307 , SEV , 0-4 , BAR
308 , SEV , 2-1 , BET
309 , SEV , 2-0 , DEP
310 , SEV , 1-0 , ESP
311 , SEV , 0-0 , GET
312 , SEV , 3-0 , LEV
313 , SEV , 0-2 , MLG
314 , SEV , 1-1 , MLL
315 , SEV , 1-0 , NUM
316 , SEV , 0-1 , OSA
317 , SEV , 2-2 , RAC
318 , SEV , 2-2 , RMA
319 , SEV , 2-1 , RSO
320 , SEV , 2-2 , VAL
321 , SEV , 2-1 , VIL
322 , SEV , 0-1 , ZAR
323 , VAL , 2-0 , ALB
324 , VAL , 1-1 , ATH
325 , VAL , 2-2 , ATM
326 , VAL , 0-2 , BAR
327 , VAL , 2-1 , BET
328 , VAL , 1-2 , DEP
329 , VAL , 3-0 , ESP
330 , VAL , 3-1 , GET
331 , VAL , 2-1 , LEV
332 , VAL , 2-2 , MLG
333 , VAL , 2-0 , MLL
334 , VAL , 1-0 , NUM
335 , VAL , 1-0 , OSA
336 , VAL , 2-0 , RAC
337 , VAL , 1-1 , RMA
338 , VAL , 3-1 , RSO
339 , VAL , 1-2 , SEV
340 , VAL , 2-1 , VIL
341 , VAL , 0-0 , ZAR
342 , VIL , 1-0 , ALB
343 , VIL , 3-2 , ATH
344 , VIL , 3-1 , ATM
345 , VIL , 3-0 , BAR
346 , VIL , 0-0 , BET
347 , VIL , 0-2 , DEP
348 , VIL , 4-1 , ESP
349 , VIL , 4-0 , GET
350 , VIL , 4-1 , LEV
351 , VIL , 3-0 , MLG
352 , VIL , 2-1 , MLL
353 , VIL , 4-0 , NUM
354 , VIL , 3-0 , OSA
355 , VIL , 2-1 , RAC
356 , VIL , 0-0 , RMA
357 , VIL , 0-0 , RSO
358 , VIL , 0-0 , SEV
359 , VIL , 3-1 , VAL
360 , VIL , 2-0 , ZAR
361 , ZAR , 4-3 , ALB
362 , ZAR , 0-0 , ATH
363 , ZAR , 0-2 , ATM
364 , ZAR , 1-4 , BAR
365 , ZAR , 1-0 , BET
366 , ZAR , 2-2 , DEP
367 , ZAR , 0-1 , ESP
368 , ZAR , 3-1 , GET
369 , ZAR , 4-3 , LEV
370 , ZAR , 1-0 , MLG
371 , ZAR , 0-1 , MLL
372 , ZAR , 4-1 , NUM
373 , ZAR , 5-1 , OSA
374 , ZAR , 1-0 , RAC
375 , ZAR , 1-3 , RMA
376 , ZAR , 2-1 , RSO
377 , ZAR , 3-0 , SEV
378 , ZAR , 2-2 , VAL
379 , ZAR , 1-0 , VIL
